,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len
1254,7950,9,FIAT,Automatic,52525,Silver,Black,25,-1,Front-Wheel Drive,Electric,6,5015
1255,9250,12,Chevrolet,Automatic,81439,Silver,-1,26,I4,Front-Wheel Drive,Gasoline,2,5584
1256,9900,14,Dodge,Automatic,128181,Red,Gray,20,V8,Rear-Wheel Drive,Gasoline,7,5344
1257,18900,17,Ford,-1,92422,White,-1,25,V8,Rear-Wheel Drive,Diesel,4,2346
1258,19900,7,Chevrolet,Automatic,42072,Black,Gray,25,-1,Front-Wheel Drive,Electric,13,5270
1259,22900,10,Ford,Automatic,104593,Red,-1,25,V8,-1,Flex Fuel Vehicle,3,2577
1260,28900,7,Toyota,Automatic,56967,Red,-1,22,V6,Front-Wheel Drive,Gasoline,4,4839
1261,19880,7,Genesis,Automatic,109654,Blue,Gray,25,V6,-1,Gasoline,10,3696
1262,20880,10,Audi,Automatic,62069,-1,-1,26,I4,All-Wheel Drive,Hybrid,6,1887
1263,22500,7,BMW,Automatic,30887,Blue,Black,27,I4,All-Wheel Drive,Gasoline,11,3226
1264,22500,5,Jeep,Automatic,32536,Black,Black,22,V6,Four-Wheel Drive,Gasoline,6,2364
1265,22880,8,BMW,Automatic,49502,Gray,Black,24,I4,All-Wheel Drive,Gasoline,11,3443
1266,23880,6,BMW,Automatic,18188,Silver,Black,27,I4,All-Wheel Drive,Gasoline,8,2384
1267,23880,8,Audi,Automatic,47828,Black,Black,25,I4,All-Wheel Drive,Flex Fuel Vehicle,7,3399
1268,25880,7,Lexus,Automatic,54625,White,Gray,25,V6,Front-Wheel Drive,Gasoline,6,2701
1269,26880,6,Audi,Automatic,29155,Black,Gray,25,I4,Front-Wheel Drive,Gasoline,9,3090
1270,27500,7,BMW,Automatic,24910,-1,-1,24,I4,All-Wheel Drive,Gasoline,9,3445
1271,28880,6,BMW,Automatic,8146,Silver,Black,26,I4,All-Wheel Drive,Gasoline,8,3092
1272,32880,7,BMW,Automatic,43534,-1,Black,24,I6,Rear-Wheel Drive,Gasoline,6,3510
1273,34880,6,BMW,Automatic,25906,White,Black,27,I4,All-Wheel Drive,Gasoline,7,2878
1274,37880,6,Volvo,Automatic,42251,Gray,Red,24,I4,All-Wheel Drive,Gasoline,12,3286
1275,40880,6,Audi,Automatic,40837,Gray,Black,21,V6,All-Wheel Drive,Gasoline,6,2477
1276,40880,6,Land,Automatic,24685,Silver,-1,18,V6,All-Wheel Drive,Gasoline,8,2773
1277,41880,6,Lexus,Automatic,33249,Silver,Black,16,V8,All-Wheel Drive,Gasoline,9,3101
1278,41880,6,Audi,Automatic,43095,Blue,Black,21,V6,All-Wheel Drive,Gasoline,10,3576
1279,42500,6,Audi,Automatic,30165,Black,Black,21,V6,All-Wheel Drive,Gasoline,8,2999
1280,42500,6,Audi,Automatic,23116,Blue,Black,21,V6,All-Wheel Drive,Gasoline,9,2888
1281,44880,7,Mercedes-Benz,Automatic,26652,Gray,Black,19,V6,All-Wheel Drive,Gasoline,14,3862
1282,44880,6,Porsche,Automatic,27274,Gray,Black,25,I4,All-Wheel Drive,Gasoline,7,2954
1283,44880,6,Maserati,Automatic,34926,-1,-1,19,V6,All-Wheel Drive,Gasoline,10,2582
1284,46880,5,Audi,Automatic,13840,White,-1,21,I4,All-Wheel Drive,Gasoline,11,2709
1285,46880,6,Land,Automatic,43482,Gray,Black,23,I4,All-Wheel Drive,Gasoline,5,2469
1286,46880,6,Audi,Automatic,35042,Gray,Gray,21,V6,All-Wheel Drive,Gasoline,11,4333
1287,49880,6,Porsche,Automatic,32372,Gray,Black,25,V6,All-Wheel Drive,Gasoline,6,2783
1288,52980,7,Mercedes-Benz,Automatic,32615,Black,Black,15,V8,All-Wheel Drive,Gasoline,11,3567
1289,57500,7,Land,Automatic,30505,White,-1,19,V6,All-Wheel Drive,Gasoline,5,2477
1290,62500,7,Land,Automatic,31896,Blue,White,19,V6,All-Wheel Drive,Gasoline,11,3421
1291,67500,7,Audi,Automatic,36197,Black,Black,19,V8,All-Wheel Drive,Gasoline,11,3209
1292,68880,7,Land,Automatic,30328,Black,-1,16,V8,All-Wheel Drive,Gasoline,7,3442
1293,79880,6,Land,Automatic,22526,Silver,-1,19,V6,All-Wheel Drive,Gasoline,9,3524
1294,80880,6,Land,Automatic,22847,Black,-1,19,V6,All-Wheel Drive,Gasoline,10,3786
1295,27495,4,Nissan,-1,2349,Blue,Gray,26,I4,All-Wheel Drive,Gasoline,14,2286
1296,31998,4,Nissan,Automatic,247,Gray,-1,25,V6,Four-Wheel Drive,Gasoline,6,1799
1297,8990,11,Ford,Automatic,55235,Blue,-1,25,-1,Front-Wheel Drive,Electric,4,2613
1298,15990,15,Dodge,Automatic,115113,Black,-1,16,V8,Front-Wheel Drive,Gasoline,3,2615
1299,19990,17,Toyota,-1,106262,White,-1,25,V6,Four-Wheel Drive,Gasoline,3,1827
1300,22990,10,Cadillac,Automatic,54972,Gray,-1,21,V6,All-Wheel Drive,Gasoline,12,5135
1301,7994,9,Chevrolet,Automatic,138604,Silver,Black,31,I4,Front-Wheel Drive,Gasoline,11,5078
1302,24995,6,GMC,Automatic,23747,White,-1,25,V8,Rear-Wheel Drive,Flex Fuel Vehicle,7,2327
1303,32995,4,Chevrolet,Automatic,11844,White,Black,17,V8,Front-Wheel Drive,Gasoline,5,3233
1304,32995,4,Chevrolet,Automatic,12208,White,Black,17,V8,Front-Wheel Drive,Gasoline,5,3188
1305,32995,4,Chevrolet,Automatic,11770,White,Black,17,V8,Front-Wheel Drive,Gasoline,5,3290
1306,39995,7,RAM,Automatic,41751,Black,Black,17,V8,Four-Wheel Drive,Gasoline,10,4929
1307,66495,5,GMC,Automatic,48130,-1,Black,25,V8,-1,Biodiesel,11,5682
1308,67995,4,Chevrolet,Automatic,7460,Silver,Black,25,V8,Four-Wheel Drive,Biodiesel,10,5883
1309,68995,3,Chevrolet,-1,3574,-1,Black,25,V8,Four-Wheel Drive,Gasoline,15,5038
1310,9917,16,Dodge,Automatic,120222,Red,Gray,16,V8,Four-Wheel Drive,Gasoline,2,2587
1311,13138,15,Chevrolet,Automatic,102013,Silver,Gray,25,V6,Front-Wheel Drive,Gasoline,3,2734
1312,18854,13,GMC,Automatic,110554,White,Black,25,V8,Front-Wheel Drive,Flex Fuel Vehicle,7,4698
1313,34950,5,GMC,Automatic,84354,Silver,Black,17,V8,Four-Wheel Drive,Gasoline,4,4108
1314,35343,7,Audi,Automatic,51871,Black,Black,21,V6,All-Wheel Drive,Gasoline,6,4122
1315,66500,5,GMC,Automatic,27340,White,Black,25,V8,Four-Wheel Drive,Biodiesel,13,6828
1316,6999,16,Mercedes-Benz,Automatic,149243,Red,Black,25,V6,-1,Gasoline,3,2648
1317,9992,11,Kia,Automatic,95225,-1,-1,28,I4,Front-Wheel Drive,Gasoline,1,2279
1318,11864,9,Kia,Automatic,66444,Silver,Black,26,I4,Front-Wheel Drive,Gasoline,2,2217
1319,13979,6,Hyundai,Automatic,27645,Gray,Black,33,I4,Front-Wheel Drive,Gasoline,3,2218
1320,13990,11,Toyota,-1,73476,-1,Gray,42,I4,Front-Wheel Drive,Hybrid,3,2916
1321,14877,7,Chevrolet,Automatic,38086,Red,Black,33,I4,Front-Wheel Drive,Gasoline,9,2781
1322,14941,8,Ford,Automatic,42288,-1,Black,26,I4,Front-Wheel Drive,Gasoline,1,2663
1323,16970,4,Nissan,-1,28541,Black,Black,33,I4,Front-Wheel Drive,Gasoline,5,2348
1324,17992,6,Chevrolet,Automatic,34334,Black,Black,31,I4,Front-Wheel Drive,Gasoline,4,3485
1325,20687,6,Kia,Automatic,19651,Black,Black,25,I4,All-Wheel Drive,Gasoline,2,2802
1326,21961,8,Mercedes-Benz,Automatic,57032,Silver,Black,27,I4,All-Wheel Drive,Gasoline,4,2759
1327,21993,4,Honda,-1,20791,Black,Black,32,I4,Front-Wheel Drive,Gasoline,5,2589
1328,22089,7,Chrysler,Automatic,32329,Silver,Black,22,V6,All-Wheel Drive,Gasoline,12,3534
1329,24099,6,Mazda,Automatic,34588,Gray,Black,26,I4,All-Wheel Drive,Gasoline,4,3277
1330,24552,8,Honda,-1,33142,White,Black,27,I4,All-Wheel Drive,Gasoline,5,3156
1331,24820,6,Mazda,Automatic,27327,Blue,Black,26,I4,All-Wheel Drive,Gasoline,4,3284
1332,24999,6,Chevrolet,Automatic,40792,Silver,Black,26,I4,Rear-Wheel Drive,Gasoline,4,3723
1333,28852,6,Mazda,Automatic,37622,Blue,Black,22,I4,All-Wheel Drive,Gasoline,12,3702
1334,29032,5,Mazda,Automatic,5358,White,Black,26,I4,All-Wheel Drive,Gasoline,8,3486
1335,29912,10,Chevrolet,Automatic,127645,White,Black,25,V8,Four-Wheel Drive,Flex Fuel Vehicle,2,2453
1336,30085,7,Land,Automatic,36670,Blue,-1,24,I4,All-Wheel Drive,Gasoline,11,3252
1337,35898,8,Volvo,Automatic,36732,Black,Black,23,I4,All-Wheel Drive,Gasoline,6,3324
1338,38499,4,Lexus,Automatic,6552,Gray,Black,20,V6,All-Wheel Drive,Gasoline,6,3550
1339,40021,7,Nissan,Automatic,40395,Red,Black,17,V8,Four-Wheel Drive,Gasoline,9,2892
1340,45237,5,Chevrolet,Automatic,47972,Gray,Black,25,V8,Four-Wheel Drive,Gasoline,13,5616
1341,45930,5,Chevrolet,Automatic,51078,Gray,Black,25,V8,Four-Wheel Drive,Gasoline,13,5638
1342,45985,5,Chevrolet,Automatic,46088,Black,Black,25,V8,Four-Wheel Drive,Gasoline,13,5644
1343,46166,5,Chevrolet,Automatic,49229,Gray,Black,25,V8,Four-Wheel Drive,Gasoline,13,5562
1344,49889,5,GMC,Automatic,52800,Red,Black,25,V8,Four-Wheel Drive,Gasoline,12,5159
1345,55988,4,GMC,Automatic,11824,-1,Black,25,V8,Four-Wheel Drive,Gasoline,12,4660
1346,19990,7,Ford,Automatic,57220,-1,-1,25,-1,All-Wheel Drive,-1,7,6866
1347,20990,5,Subaru,-1,17428,Black,White,31,H4,All-Wheel Drive,Gasoline,3,2005
1348,20991,5,Subaru,-1,13349,Black,White,31,H4,All-Wheel Drive,Gasoline,3,2010
1349,23580,7,Mazda,Automatic,21365,Black,Black,25,I4,All-Wheel Drive,Gasoline,3,5623
1350,24888,6,Mazda,Automatic,33460,Blue,Black,26,I4,All-Wheel Drive,Gasoline,3,1304
1351,26490,8,Subaru,Manual,33150,Black,Black,23,H4,All-Wheel Drive,Gasoline,8,7156
1352,11998,7,Kia,Automatic,69107,Red,Black,28,I4,Front-Wheel Drive,Gasoline,3,2253
1353,12997,9,Kia,Automatic,58236,Gray,Black,27,I4,Front-Wheel Drive,Gasoline,3,2650
1354,14588,7,Hyundai,Automatic,76157,Gray,Gray,26,I4,Front-Wheel Drive,Gasoline,5,3162
1355,14688,7,Nissan,-1,74824,Silver,Black,32,I4,Front-Wheel Drive,Gasoline,3,2451
1356,14788,6,Kia,Automatic,14509,Black,Black,32,I4,Front-Wheel Drive,Gasoline,3,2725
1357,15588,6,Kia,Automatic,27264,Blue,Black,32,I4,Front-Wheel Drive,Gasoline,4,2500
1358,15998,8,Nissan,-1,40174,Black,-1,32,I4,Front-Wheel Drive,Gasoline,5,2656
1359,16888,5,Kia,Automatic,13366,Black,Black,34,I4,Front-Wheel Drive,Gasoline,4,2932
1360,17999,4,Kia,Automatic,1304,-1,Black,29,I4,Front-Wheel Drive,Gasoline,3,2109
1361,19888,6,Kia,-1,7234,-1,Black,48,I4,Front-Wheel Drive,Hybrid,5,2982
1362,20166,6,Ford,Automatic,29547,-1,Black,24,I4,All-Wheel Drive,Gasoline,5,2689
1363,20488,6,Kia,Automatic,14713,Silver,Gray,25,I4,All-Wheel Drive,Gasoline,3,1810
